Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Aéroport Charles de Gaulle 2 TGV,Marseille - Saint-Charles ,OUIGO,7831,10-03-2023,10:24:00,10:24:00,0,,"['Aéroport Charles de Gaulle 2 TGV', 'Marne-la-Vallée - Chessy', 'Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles']"
Aix-en-Provence,Marseille - Saint-Charles ,TER,880123,10-03-2023,10:37:00,10:37:00,0,,"['Aix-en-Provence', 'Gardanne', 'Simiane', 'Septèmes', 'Saint-Antoine', 'Saint-Joseph - Le Castellas', 'Sainte-Marthe en Provence', 'Picon - Busserine', 'Marseille - Saint-Charles']"
Paris - Gare de Lyon - Hall 1 & 2,Marseille - Saint-Charles ,TGV INOUI,6103,10-03-2023,10:56:00,10:56:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles']"
Hyères,Marseille - Saint-Charles ,TER,881616,10-03-2023,11:03:00,11:03:00,0,,"['Hyères', 'La Crau', 'La Pauline', 'La Garde', 'Toulon Sainte-Musse', 'Toulon', 'La Seyne - Six Fours', 'Ollioules - Sanary-sur-Mer', 'Bandol', 'Saint-Cyr - Les Lecques - La Cadière', 'La Ciotat-Ceyreste', 'Cassis', 'Aubagne', 'Marseille Blancarde', 'Marseille - Saint-Charles']"
Nice,Marseille - Saint-Charles ,TER,17478,10-03-2023,11:07:00,11:07:00,0,,"['Nice', 'Nice Saint-Augustin', 'Antibes', 'Cannes', 'Saint-Raphaël - Valescure', 'Les Arcs - Draguignan', 'Toulon', 'Marseille - Saint-Charles']"
Toulon,Marseille - Saint-Charles ,TER,881430,10-03-2023,11:28:00,11:28:00,0,,"['Toulon', 'La Seyne - Six Fours', 'Ollioules - Sanary-sur-Mer', 'Bandol', 'Saint-Cyr - Les Lecques - La Cadière', 'La Ciotat-Ceyreste', 'Cassis', 'Aubagne', 'Marseille Blancarde', 'Marseille - Saint-Charles']"
Aix-en-Provence,Marseille - Saint-Charles ,TER,880129,10-03-2023,12:07:00,12:07:00,0,,"['Aix-en-Provence', 'Gardanne', 'Simiane', 'Septèmes', 'Saint-Antoine', 'Saint-Joseph - Le Castellas', 'Sainte-Marthe en Provence', 'Picon - Busserine', 'Marseille - Saint-Charles']"
Hyères,Marseille - Saint-Charles ,TER,881622,10-03-2023,12:28:00,12:28:00,0,,"['Hyères', 'La Crau', 'La Pauline', 'La Garde', 'Toulon Sainte-Musse', 'Toulon', 'La Seyne - Six Fours', 'Ollioules - Sanary-sur-Mer', 'Bandol', 'Saint-Cyr - Les Lecques - La Cadière', 'La Ciotat-Ceyreste', 'Cassis', 'Aubagne', 'Marseille Blancarde', 'Marseille - Saint-Charles']"
Nice,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6074,10-03-2023,12:33:00,12:33:00,0,,"['Nice', 'Antibes', 'Cannes', 'Saint-Raphaël - Valescure', 'Toulon', 'Marseille - Saint-Charles', 'Paris - Gare de Lyon - Hall 1 & 2']"
Toulon,Marseille - Saint-Charles ,TER,881438,10-03-2023,12:58:00,12:58:00,0,,"['Toulon', 'La Seyne - Six Fours', 'Ollioules - Sanary-sur-Mer', 'Bandol', 'Saint-Cyr - Les Lecques - La Cadière', 'La Ciotat-Ceyreste', 'Cassis', 'Aubagne', 'Marseille Blancarde', 'Marseille - Saint-Charles']"
Paris - Gare de Lyon - Hall 1 & 2,Nice ,TGV INOUI,6175,10-03-2023,13:14:00,13:14:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Marseille - Saint-Charles', 'Toulon', 'Les Arcs - Draguignan', 'Cannes', 'Antibes', 'Nice']"
Hyères,Marseille - Saint-Charles ,TER,881626,10-03-2023,13:40:00,13:40:00,0,,"['Hyères', 'La Crau', 'La Pauline', 'La Garde', 'Toulon Sainte-Musse', 'Toulon', 'La Seyne - Six Fours', 'Ollioules - Sanary-sur-Mer', 'Bandol', 'Saint-Cyr - Les Lecques - La Cadière', 'La Ciotat-Ceyreste', 'Cassis', 'Aubagne', 'La Penne-sur-Huveaune', 'La Barasse', 'Saint-Marcel', 'La Pomme', 'Marseille Blancarde', 'Marseille - Saint-Charles']"
Paris - Gare de Lyon - Hall 1 & 2,Marseille - Saint-Charles ,TGV INOUI,6109,10-03-2023,13:56:00,13:56:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles']"
Nice,Marseille - Saint-Charles ,TER,17482,10-03-2023,14:03:00,14:03:00,0,,"['Nice', 'Nice Saint-Augustin', 'Antibes', 'Cannes', 'Saint-Raphaël - Valescure', 'Les Arcs - Draguignan', 'Toulon', 'Marseille - Saint-Charles']"
Avignon Centre,Marseille - Saint-Charles ,TER,879539,10-03-2023,14:22:30,14:22:30,0,,"['Avignon Centre', 'Arles', 'Saint-Martin-de-Crau', 'Miramas', 'Saint-Chamas', 'Rognac', 'Vitrolles - Aéroport Marseille Provence', 'Pas des Lanciers', 'L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Marseille - Saint-Charles']"
Aix-en-Provence,Marseille - Saint-Charles ,TER,880141,10-03-2023,14:37:00,14:37:00,0,,"['Aix-en-Provence', 'Gardanne', 'Simiane', 'Septèmes', 'Saint-Antoine', 'Saint-Joseph - Le Castellas', 'Sainte-Marthe en Provence', 'Picon - Busserine', 'Marseille - Saint-Charles']"
Toulon,Marseille - Saint-Charles ,TER,881454,10-03-2023,14:58:00,14:58:00,0,,"['Toulon', 'La Seyne - Six Fours', 'Ollioules - Sanary-sur-Mer', 'Bandol', 'Saint-Cyr - Les Lecques - La Cadière', 'La Ciotat-Ceyreste', 'Cassis', 'Aubagne', 'Marseille Blancarde', 'Marseille - Saint-Charles']"
Metz Ville,Marseille - Saint-Charles ,TGV INOUI,9877,10-03-2023,15:06:00,15:06:00,0,,"['Metz Ville', 'Strasbourg', 'Mulhouse-Ville', 'Belfort - Montbéliard TGV', 'Besançon - Franche-Comté TGV', 'Dijon Ville', 'Mâcon', 'Lyon Part Dieu', 'Valence TGV Rhône-Alpes Sud', 'Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles']"
Hendaye,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8540,09-03-2023,15:40:00,15:40:00,0,,"['Hendaye', 'Saint-Jean-de-Luz - Ciboure', 'Biarritz', 'Bayonne', 'Dax', 'Bordeaux Saint-Jean', 'Paris - Montparnasse - Hall 1 & 2']"
Nantes,Bordeaux Saint-Jean ,Intercités,3833,09-03-2023,16:07:00,16:07:00,0,,"['Nantes', 'La Roche-sur-Yon', 'Luçon', 'La Rochelle', 'Rochefort', 'Saintes', 'Jonzac', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,OUIGO,7653,09-03-2023,16:09:00,16:09:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Poitiers', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Tarbes ,TGV INOUI,8574,09-03-2023,16:14:00,16:14:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Massy TGV', 'Bordeaux Saint-Jean', 'Dax', 'Orthez', 'Pau', 'Lourdes', 'Tarbes']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,12265,09-03-2023,16:14:00,16:14:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Massy TGV', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Toulouse Matabiau ,TGV INOUI,8509,09-03-2023,17:15:00,17:15:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Bordeaux Saint-Jean', 'Toulouse Matabiau']"
Arcachon,Libourne ,TER NA,866246,09-03-2023,17:25:00,17:25:00,0,,"['Arcachon', 'La Teste', 'La Hume', 'Gujan-Mestras', 'Le Teich', 'Biganos Facture', 'Marcheprime', 'Gazinet Cestas', 'Pessac Alouette', 'Pessac', 'Bordeaux Saint-Jean', 'Cenon', 'Bassens', 'La Gorp', 'Saint-Loubès', 'Saint-Sulpice - Izon', 'Vayres', 'Libourne']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,8485,09-03-2023,17:37:00,17:37:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Saint-Pierre-des-Corps', 'Poitiers', 'Angoulême', 'Libourne', 'Bordeaux Saint-Jean']"
Marseille - Saint-Charles,Bordeaux Saint-Jean ,Intercités,4760,09-03-2023,17:38:00,17:33:00,5,Prise en charge de clients en correspondance,"['Marseille - Saint-Charles', 'Arles', 'Nîmes Centre', 'Montpellier Saint-Roch', 'Sète', 'Narbonne', 'Carcassonne', 'Toulouse Matabiau', 'Montauban Ville Bourbon', 'Agen', 'Bordeaux Saint-Jean']"
Hendaye,Bordeaux Saint-Jean ,TER NA,866474,09-03-2023,17:41:00,17:41:00,0,,"['Hendaye', 'Les Deux Jumeaux', 'Saint-Jean-de-Luz - Ciboure', 'Guéthary', 'Biarritz', 'Bayonne', 'Saint-Vincent-de-Tyrosse', 'Dax', 'Morcenx', 'Labouheyre', 'Ychoux', 'Biganos Facture', 'Pessac', 'Bordeaux Saint-Jean']"
Arcachon,Bordeaux Saint-Jean ,TER NA,866350,09-03-2023,18:25:00,18:25:00,0,,"['Arcachon', 'La Teste', 'La Hume', 'Gujan-Mestras', 'Le Teich', 'Biganos Facture', 'Marcheprime', 'Gazinet Cestas', 'Pessac Alouette', 'Pessac', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,8447,09-03-2023,18:44:00,18:44:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Poitiers', 'Angoulême', 'Bordeaux Saint-Jean']"
Arcachon,Libourne ,TER NA,866204,10-03-2023,06:56:00,06:56:00,0,,"['Arcachon', 'La Teste', 'La Hume', 'Gujan-Mestras', 'Le Teich', 'Biganos Facture', 'Marcheprime', 'Gazinet Cestas', 'Pessac Alouette', 'Pessac', 'Bordeaux Saint-Jean', 'Cenon', 'Bassens', 'La Gorp', 'Saint-Loubès', 'Saint-Sulpice - Izon', 'Vayres', 'Libourne']"
Sarlat,Bordeaux Saint-Jean ,TER NA,865740,10-03-2023,08:44:00,08:44:00,0,,"['Sarlat', 'Saint-Cyprien', 'Siorac-en-Périgord', 'Le Buisson', 'Trémolat', 'Lalinde', 'Bergerac', 'Gardonne', 'Sainte-Foy-la-Grande', 'Vélines', 'Castillon', 'Saint-Émilion', 'Libourne', 'Cenon', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,8431,10-03-2023,09:02:00,09:02:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Saint-Pierre-des-Corps', 'Poitiers', 'Angoulême', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Hendaye ,TGV INOUI,8531,10-03-2023,09:15:00,09:15:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Bordeaux Saint-Jean', 'Dax', 'Bayonne', 'Biarritz', 'Saint-Jean-de-Luz - Ciboure', 'Hendaye']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,12251,10-03-2023,09:15:00,09:15:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Bordeaux Saint-Jean']"
Périgueux,Bordeaux Saint-Jean ,TER NA,865553,10-03-2023,10:47:00,10:47:00,0,,"['Périgueux', 'Libourne', 'Cenon', 'Bordeaux Saint-Jean']"
Libourne,Biganos Facture ,TER NA,866225,10-03-2023,10:58:00,10:58:00,0,,"['Libourne', 'Vayres', 'Saint-Sulpice - Izon', 'Saint-Loubès', 'La Gorp', 'Bassens', 'Cenon', 'Bordeaux Saint-Jean', 'Pessac', 'Pessac Alouette', 'Gazinet Cestas', 'Marcheprime', 'Biganos Facture']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,OUIGO,7671,10-03-2023,11:14:00,11:14:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,8437,10-03-2023,13:02:00,13:02:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Saint-Pierre-des-Corps', 'Poitiers', 'Angoulême', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Toulouse Matabiau ,TGV INOUI,8505,10-03-2023,13:14:00,13:14:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Bordeaux Saint-Jean', 'Agen', 'Montauban Ville Bourbon', 'Toulouse Matabiau']"
Paris - Montparnasse - Hall 1 & 2,Hendaye ,TGV INOUI,8541,10-03-2023,14:15:00,14:15:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Bordeaux Saint-Jean', 'Dax', 'Bayonne', 'Biarritz', 'Saint-Jean-de-Luz - Ciboure', 'Hendaye']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,12259,10-03-2023,14:15:00,14:15:00,0,,"['Paris - Montparnasse - Hall 1 & 2', 'Bordeaux Saint-Jean']"
Toulouse Matabiau,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8512,10-03-2023,14:40:00,14:40:00,0,,"['Toulouse Matabiau', 'Agen', 'Bordeaux Saint-Jean', 'Angoulême', 'Paris - Montparnasse - Hall 1 & 2']"
Châteaubriant - Tram Train,Nantes ,TER,859609,09-03-2023,15:29:00,15:29:00,0,,"['Châteaubriant - Tram Train', 'Issé', 'Abbaretz', 'Nort-sur-Erdre', 'Sucé-sur-Erdre', 'La Chapelle - Aulnay', 'La Chapelle Centre', 'Erdre-Active', 'Babinière', 'Haluchère - Batignolles', 'Nantes']"
