Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862425,08-03-2023,16:09:00,16:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Tours ,TGV INOUI,8313,08-03-2023,16:28:00,16:28:00,0,,"['Vendôme - Villiers-sur-Loir', 'Saint-Pierre-des-Corps', 'Tours']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862429,08-03-2023,17:09:00,17:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Rennes ,TGV INOUI,8067,08-03-2023,17:12:00,17:12:00,0,,"['Le Mans', 'Laval', 'Rennes']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862431,08-03-2023,17:39:00,17:39:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Saint-Nazaire ,TGV INOUI,8905,08-03-2023,17:48:00,17:48:00,0,,"['Angers-Saint-Laud', 'Nantes', 'Saint-Nazaire']"
Paris - Montparnasse - Hall 1 & 2,Le Mans ,TER,16775,08-03-2023,18:05:00,18:05:00,0,,"['Versailles Chantiers', 'Épernon', 'Maintenon', 'Chartres', 'Courville-sur-Eure', 'La Loupe', 'Nogent-le-Rotrou', 'La Ferté-Bernard', 'Connerré - Beillé', 'Le Mans']"
Paris - Montparnasse - Hall 1 & 2,Saint-Malo ,TGV INOUI,8093,08-03-2023,18:11:00,18:11:00,0,,"['Laval', 'Vitré', 'Rennes', 'Dol-de-Bretagne', 'Saint-Malo']"
Paris - Montparnasse - Hall 1 & 2,Poitiers ,TGV INOUI,8345,08-03-2023,18:28:00,18:28:00,0,,"['Vendôme - Villiers-sur-Loir', 'Saint-Pierre-des-Corps', 'Châtellerault', 'Poitiers']"
Paris - Montparnasse - Hall 1 & 2,Tours ,TGV INOUI,8319,08-03-2023,18:28:00,18:28:00,0,,"['Vendôme - Villiers-sur-Loir', 'Saint-Pierre-des-Corps', 'Tours']"
