Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Toulouse Matabiau,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8512,10-03-2023,17:12:30,17:12:30,0,,"['Toulouse Matabiau', 'Agen', 'Bordeaux Saint-Jean', 'Angoulême', 'Paris - Montparnasse - Hall 1 & 2']"
Le Croisic,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8922,10-03-2023,17:25:00,17:25:00,0,,"['Le Croisic', 'La Baule-Escoublac', 'Saint-Nazaire', 'Nantes', 'Angers-Saint-Laud', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Nantes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8122,10-03-2023,17:25:00,17:25:00,0,,"['Nantes', 'Angers-Saint-Laud', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Tours,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8316,10-03-2023,17:33:00,17:33:00,0,,"['Tours', 'Saint-Pierre-des-Corps', 'Vendôme - Villiers-sur-Loir', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862432,10-03-2023,17:37:00,17:37:00,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Paris - Montparnasse - Hall 1 & 2']"
Tarbes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8583,10-03-2023,17:52:00,17:52:00,0,,"['Tarbes', 'Lourdes', 'Pau', 'Orthez', 'Dax', 'Bordeaux Saint-Jean', 'Paris - Montparnasse - Hall 1 & 2']"
Hendaye,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8540,10-03-2023,17:52:00,17:52:00,0,,"['Hendaye', 'Saint-Jean-de-Luz - Ciboure', 'Biarritz', 'Bayonne', 'Dax', 'Bordeaux Saint-Jean', 'Paris - Montparnasse - Hall 1 & 2']"
Brest,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8630,10-03-2023,18:08:30,18:08:30,0,,"['Brest', 'Morlaix', 'Plouaret - Trégor', 'Guingamp', 'Saint-Brieuc', 'Lamballe', 'Rennes', 'Paris - Montparnasse - Hall 1 & 2']"
Nantes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8880,10-03-2023,18:25:00,18:25:00,0,,"['Nantes', 'Angers-Saint-Laud', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Rennes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8074,10-03-2023,18:49:00,18:49:00,0,,"['Rennes', 'Vitré', 'Laval', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
