Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Cerbère,Montpellier Saint-Roch ,TER,876604,10-03-2023,07:45:00,07:45:00,0,,"['Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch']"
Nîmes Centre,Port-Bou ,TER,86967,10-03-2023,07:55:30,07:55:30,0,,"['Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Cerbère,Narbonne ,TER,876252,10-03-2023,08:07:00,08:07:00,0,,"['Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne']"
Nîmes Centre,Port-Bou ,TER,86969,10-03-2023,08:55:00,08:55:00,0,,"['Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Perpignan,Villefranche - Vernet-les-Bains ,TER,877653,10-03-2023,09:09:00,09:09:00,0,,"['Le Soler', 'Saint-Féliu-d\'Avall"", \'links\': [], \'coord\': {\'lat\': \'42.677277\', \'lon\': \'2.737806\'}, \'label\': ""Saint-Féliu-d\'Avall (Saint-Féliu-d\'Avall)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87784520:Train\'', 'Millas', 'Ille-sur-Têt', 'Vinça', 'Marquixanes', 'Prades - Molitg-les-Bains', 'Ria', 'Villefranche - Vernet-les-Bains']"
Cerbère,Narbonne ,TER,876410,10-03-2023,09:10:00,09:10:00,0,,"['Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne']"
Perpignan,Toulouse Matabiau ,TER,876254,10-03-2023,10:16:00,10:16:00,0,,"['Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Lézignan-Corbières', 'Carcassonne', 'Bram', 'Castelnaudary', 'Villefranche-de-Lauragais', 'Baziège', 'Escalquens', 'Labège - Innopole', 'Montaudran', 'Toulouse Matabiau']"
Perpignan,Port-Bou ,TER,86981,10-03-2023,10:55:00,10:55:00,0,,"['Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Perpignan,Avignon Centre ,TER,876414,10-03-2023,11:10:00,11:10:00,0,,"['Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Avignon Centre']"
Perpignan,Villefranche - Vernet-les-Bains ,TER,877655,10-03-2023,11:10:00,11:10:00,0,,"['Le Soler', 'Saint-Féliu-d\'Avall"", \'links\': [], \'coord\': {\'lat\': \'42.677277\', \'lon\': \'2.737806\'}, \'label\': ""Saint-Féliu-d\'Avall (Saint-Féliu-d\'Avall)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87784520:Train\'', 'Millas', 'Ille-sur-Têt', 'Vinça', 'Marquixanes', 'Prades - Molitg-les-Bains', 'Ria', 'Villefranche - Vernet-les-Bains']"
Perpignan,Toulouse Matabiau ,TER,876256,10-03-2023,12:27:00,12:27:00,0,,"['Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Lézignan-Corbières', 'Carcassonne', 'Bram', 'Castelnaudary', 'Villefranche-de-Lauragais', 'Baziège', 'Escalquens', 'Labège - Innopole', 'Montaudran', 'Toulouse Matabiau']"
Avignon Centre,Port-Bou ,TER,86983,10-03-2023,12:55:30,12:55:30,0,,"['Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Perpignan,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6258,10-03-2023,13:04:00,13:04:00,0,,"['Narbonne', 'Béziers', 'Agde', 'Sète', 'Montpellier Sud de France', 'Nîmes Pont-du-Gard', 'Valence TGV Rhône-Alpes Sud', 'Paris - Gare de Lyon - Hall 1 & 2']"
Port-Bou,Narbonne ,TER,86990,10-03-2023,13:10:00,13:10:00,0,,"['Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne']"
Perpignan,Villefranche - Vernet-les-Bains ,TER,877657,10-03-2023,13:11:00,13:11:00,0,,"['Le Soler', 'Saint-Féliu-d\'Avall"", \'links\': [], \'coord\': {\'lat\': \'42.677277\', \'lon\': \'2.737806\'}, \'label\': ""Saint-Féliu-d\'Avall (Saint-Féliu-d\'Avall)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87784520:Train\'', 'Millas', 'Ille-sur-Têt', 'Vinça', 'Marquixanes', 'Prades - Molitg-les-Bains', 'Ria', 'Villefranche - Vernet-les-Bains']"
Arras,Amiens ,TER HDF,36140,09-03-2023,13:45:00,13:45:00,0,,"['Boisleux', 'Courcelles-le-Comte', 'Achiet', 'Miraumont', 'Albert', 'Corbie', 'Amiens']"
Boulogne-Ville,Paris Nord ,TGV INOUI,7520,09-03-2023,13:46:30,13:41:30,5,Travaux sur les voies,['Paris Nord']
Arras,Étaples - Le Touquet ,TER HDF,842311,09-03-2023,15:43:00,15:43:00,0,,"['Marœuil', 'Frévin-Capelle', 'Aubigny-en-Artois', 'Savy-Berlette', 'Tincques', 'Saint-Pol-sur-Ternoise', 'Anvin', 'Auchy-lès-Hesdin', 'Hesdin', 'Beaurainville', 'Montreuil sur Mer', 'Étaples - Le Touquet']"
Arras,Hazebrouck ,TER HDF,846523,09-03-2023,17:12:00,17:12:00,0,,"['Bailleul-Sir-Berthoult', 'Farbus', 'Vimy', 'Avion', 'Lens', 'Loos-en-Gohelle', 'Liévin', 'Bully - Grenay', 'Mazingarbe', 'Noeux', 'Béthune', 'Fouquereuil', 'Chocques', 'Lillers', 'Ham-en-Artois', 'Isbergues', 'Thiennes', 'Steenbecque', 'Hazebrouck']"
Valenciennes,Paris Nord ,TGV INOUI,7130,09-03-2023,17:18:00,17:18:00,0,,['Paris Nord']
Dunkerque,Paris Nord ,TGV INOUI,7330,09-03-2023,17:18:00,17:18:00,0,,['Paris Nord']
Lille Flandres,Amiens ,TER HDF,843920,09-03-2023,17:32:00,17:32:00,0,,"['Albert', 'Corbie', 'Amiens']"
Arras,Douai ,TER HDF,843719,09-03-2023,18:08:00,18:08:00,0,,"['Rœux', 'Biache-Saint-Vaast', 'Vitry-en-Artois', 'Brebières Sud', 'Corbehem', 'Douai']"
Lille Flandres,Amiens ,TER HDF,848908,09-03-2023,18:32:00,18:32:00,0,,"['Albert', 'Corbie', 'Amiens']"
Arras,Amiens ,TER HDF,848872,09-03-2023,18:37:00,18:37:00,0,,"['Boisleux', 'Courcelles-le-Comte', 'Achiet', 'Miraumont', 'Albert', 'Corbie', 'Amiens']"
Paris Nord,Valenciennes ,TGV INOUI,7181,09-03-2023,18:44:00,18:44:00,0,,"['Douai', 'Valenciennes']"
Arras,Saint-Pol-sur-Ternoise ,TER HDF,842317,09-03-2023,18:45:00,18:45:00,0,,"['Marœuil', 'Frévin-Capelle', 'Aubigny-en-Artois', 'Savy-Berlette', 'Tincques', 'Saint-Pol-sur-Ternoise']"
Amiens,Lille Flandres ,TER HDF,843923,09-03-2023,19:29:00,19:29:00,0,,"['Douai', 'Lille Flandres']"
Paris Nord,Valenciennes ,TGV INOUI,7185,09-03-2023,19:44:30,19:44:30,0,,"['Douai', 'Valenciennes']"
Arras,Saint-Pol-sur-Ternoise ,TER HDF,36037,10-03-2023,05:25:00,05:25:00,0,,"['Marœuil', 'Aubigny-en-Artois', 'Saint-Pol-sur-Ternoise']"
Arras,Douai ,TER HDF,843701,10-03-2023,06:08:00,06:08:00,0,,"['Rœux', 'Biache-Saint-Vaast', 'Vitry-en-Artois', 'Brebières Sud', 'Corbehem', 'Douai']"
Arras,Douai ,TER HDF,36139,10-03-2023,06:21:00,06:21:00,0,,"['Rœux', 'Biache-Saint-Vaast', 'Vitry-en-Artois', 'Brebières Sud', 'Corbehem', 'Douai']"
Amiens,Lille Flandres ,TER HDF,843901,10-03-2023,06:29:30,06:29:30,0,,"['Douai', 'Lille Flandres']"
Arras,Amiens ,TER HDF,848856,10-03-2023,06:37:00,06:37:00,0,,"['Boisleux', 'Courcelles-le-Comte', 'Miraumont', 'Albert', 'Méricourt - Ribemont', 'Corbie', 'Daours', 'Amiens']"
Arras,Saint-Pol-sur-Ternoise ,TER HDF,842305,10-03-2023,06:45:00,06:45:00,0,,"['Marœuil', 'Frévin-Capelle', 'Aubigny-en-Artois', 'Savy-Berlette', 'Tincques', 'Saint-Pol-sur-Ternoise']"
