Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Menton,Grasse ,TER,86002,07-03-2023,06:14:00,06:14:00,0,,"['Nice Saint-Augustin', 'Saint-Laurent-du-Var', 'Cros de Cagnes', 'Cagnes-sur-Mer', 'Villeneuve-Loubet - Plage', 'Biot', 'Antibes', 'Juan les Pins', 'Le Golfe Juan - Vallauris', 'Cannes', 'Le Bosquet', 'La Frayère', 'Ranguin', 'Mouans-Sartoux', 'Grasse']"
Nice,Marseille - Saint-Charles ,TER,17474,07-03-2023,06:25:00,06:25:00,0,,"['Nice Saint-Augustin', 'Antibes', 'Cannes', 'Saint-Raphaël - Valescure', 'Les Arcs - Draguignan', 'Toulon', 'Marseille - Saint-Charles']"
Cannes la Bocca,Ventimiglia - Stazione ,TER,86009,07-03-2023,06:50:00,06:50:00,0,,"['Nice Riquier', 'Villefranche-sur-Mer', 'Beaulieu-sur-Mer', 'Èze', 'Cap-d\'Ail"", \'links\': [], \'coord\': {\'lat\': \'43.7206\', \'lon\': \'7.394384\'}, \'label\': ""Cap-d\'Ail (Cap-d\'Ail)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87756395:Train\'', 'Monaco Monte Carlo', 'Roquebrune-Cap-Martin', 'Carnoles', 'Menton', 'Menton Garavan', 'Ventimiglia - Stazione']"
Ventimiglia - Stazione,Grasse ,TER,86006,07-03-2023,07:14:00,07:14:00,0,,"['Nice Saint-Augustin', 'Saint-Laurent-du-Var', 'Cros de Cagnes', 'Cagnes-sur-Mer', 'Villeneuve-Loubet - Plage', 'Biot', 'Antibes', 'Juan les Pins', 'Le Golfe Juan - Vallauris', 'Cannes', 'Le Bosquet', 'La Frayère', 'Ranguin', 'Mouans-Sartoux', 'Grasse']"
Cannes la Bocca,Ventimiglia - Stazione ,TER,86013,07-03-2023,07:33:00,07:33:00,0,,"['Nice Riquier', 'Villefranche-sur-Mer', 'Beaulieu-sur-Mer', 'Monaco Monte Carlo', 'Carnoles', 'Menton', 'Menton Garavan', 'Ventimiglia - Stazione']"
Nîmes Centre,Port-Bou ,TER,86969,07-03-2023,06:05:00,06:05:00,0,,"['Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan', 'Elne', 'Argelès-sur-Mer', 'Collioure', 'Port-Vendres', 'Banyuls-sur-Mer', 'Cerbère', 'Port-Bou']"
Montpellier Saint-Roch,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6200,07-03-2023,06:19:00,06:19:00,0,,"['Valence TGV Rhône-Alpes Sud', 'Paris - Gare de Lyon - Hall 1 & 2']"
Avignon Centre,Perpignan ,TER,876407,07-03-2023,08:15:00,08:15:00,0,,"['Vergèze - Codognan', 'Lunel', 'Baillargues', 'Montpellier Saint-Roch', 'Frontignan', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Port-la-Nouvelle', 'Leucate la Franqui', 'Salses', 'Rivesaltes', 'Perpignan']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862403,07-03-2023,06:09:00,06:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Nantes ,TGV INOUI,8863,07-03-2023,06:26:00,06:26:00,0,,"['Massy TGV', 'Le Mans', 'Angers-Saint-Laud', 'Nantes']"
